em_iteration_epoch,epoch,loglik_epoch,step,train/em_iteration,train/loglik,train/loglik_change
11.0,0,14480.8798828125,0,6.0,12108.806640625,9.860208511352539
11.0,1,14480.8798828125,1,,,
11.0,2,14480.8798828125,2,,,
11.0,3,14480.8798828125,3,,,
11.0,4,14480.8798828125,4,,,
11.0,5,14480.8798828125,5,,,
11.0,6,14480.8798828125,6,,,
11.0,7,14480.8798828125,7,,,
11.0,8,14480.8798828125,8,,,
11.0,9,14480.8798828125,9,,,
