date,KORFBEV,KORWHLS,KORMCMP,KORELEC,KORCNST,KORMACH,KOROCOINF,KOEMPTOTO,KOHWRWEMP,KOWRCDURE,KOCONPRCF,KOEQUIPTE,KOWRCCNSE,KOIMPCONA
1986-03-14,0.034369034,0.1,0.100144438,0.2,0.178498534,0.2,,,,,,,,
1986-03-21,0.06218015,0.1,0.104005948,0.1,0.114105796,0.2,,,,,,,,
1986-03-28,0.047369074,0.1,0.120355965,0.2,0.097974465,0.2,,,,,,,,
1986-03-31,,,,,,,0.611622702,-0.257758412,0.09835648,,0.197889247,,,
1986-04-04,0.129099743,0.2,0.130699737,0.2,0.0753099,0.2,,,,,,,,
1986-04-11,0.172920242,0.2,0.138324988,0.1,-0.020567821,0.1,,,,,,,,
1986-04-18,0.223562784,0.1,0.141706595,0.1,0.007361289,0.0,,,,,,,,
1986-04-25,0.085459712,0.0,0.001578829,0.0,-0.10004889,-0.1,,,,,,,,
1986-04-30,,,,,,,0.607904608,1.308061362,1.160197866,,-0.098895673,,,
1986-05-02,0.083482019,0.0,0.014613463,0.0,-0.023941311,0.0,,,,,,,,
1986-05-09,-0.004236622,-0.1,-0.051699289,-0.1,-0.11221434,0.0,,,,,,,,
1986-05-16,-0.034526711,-0.1,-0.040844142,-0.1,-0.113317219,0.0,,,,,,,,
1986-05-23,0.031533657,0.1,0.062549148,0.1,-0.032857077,0.1,,,,,,,,
1986-05-30,0.077905308,0.2,0.168410252,0.2,0.0108807,0.2,,,,,,,,
1986-05-31,,,,,,,1.80185055,0.354214337,-2.578612573,,0.591912284,,,
1986-06-06,0.057027584,0.2,0.15809346,0.2,-0.018428971,0.1,,,,,,,,
1986-06-13,0.066730601,0.2,0.19847389,0.3,0.025833238,0.2,,,,,,,,
1986-06-20,0.060615167,0.2,0.170219915,0.2,0.004621358,0.2,,,,,,,,
1986-06-27,0.029290742,0.1,0.087171964,0.1,0.066597391,0.0,,,,,,,,
1986-06-30,,,,,,,1.183445765,0.417005739,0.840598164,,-0.196915062,,,
1986-07-04,-0.009693951,0.1,0.078516251,0.1,0.111594717,0.0,,,,,,,,
1986-07-11,-0.030075767,0.1,0.035111988,0.0,0.079853684,0.0,,,,,,,,
1986-07-18,-0.050538881,0.0,-0.001676976,0.0,0.090710946,0.0,,,,,,,,
1986-07-25,-0.048856909,0.1,0.049591153,0.1,0.050869139,0.0,,,,,,,,
1986-07-31,,,,,,,0.586511945,0.916127146,0.174880237,,0.098506,,,
1986-08-01,0.003928726,0.1,0.030775832,0.1,-0.012197041,0.0,,,,,,,,
1986-08-08,0.021558225,0.1,0.02511814,0.0,0.001756518,0.0,,,,,,,,
1986-08-15,0.0285074,0.1,0.04402127,0.1,0.031103899,0.0,,,,,,,,
1986-08-22,0.040191159,0.1,0.046808732,0.1,-0.003458975,0.0,,,,,,,,
1986-08-29,-0.00757,0.0,-0.003371255,0.0,-0.000396,-0.1,,,,,,,,
1986-08-31,,,,,,,1.1628038,1.394076933,0.650072055,,-0.098506,,,
1986-09-05,-0.038662349,0.0,-0.008615508,0.0,-0.029842974,-0.1,,,,,,,,
1986-09-12,-0.022660121,0.0,0.018353476,0.0,-0.009930897,0.0,,,,,,,,
1986-09-19,-0.027710652,0.0,0.010855375,0.0,0.044967663,0.0,,,,,,,,
1986-09-26,-0.041520802,0.0,-0.012239312,0.0,0.056239926,0.0,,,,,,,,
1986-09-30,,,,,,,0.576370472,-1.242661199,-34.78838892,,0.589585724,,,
