em_iteration_epoch,epoch,loglik_epoch,step,train/em_iteration,train/loglik,train/loglik_change
23.0,0,-4543.33642578125,0,12.0,-4647.8408203125,23.843765258789062
23.0,1,-4543.33642578125,1,,,
23.0,2,-4543.33642578125,2,,,
23.0,3,-4543.33642578125,3,,,
23.0,4,-4543.33642578125,4,,,
23.0,5,-4543.33642578125,5,,,
23.0,6,-4543.33642578125,6,,,
23.0,7,-4543.33642578125,7,,,
23.0,8,-4543.33642578125,8,,,
23.0,9,-4543.33642578125,9,,,
